Dataset,Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
UNSW-NB15,RandomForest,0.9586,0.9629,0.9768,0.9698,1.63
UNSW-NB15,XGBoost,0.9579,0.9632,0.9753,0.9692,7.65
UNSW-NB15,DecisionTree,0.9499,0.9632,0.9631,0.9632,4.29
UNSW-NB15,GradientBoosting,0.9521,0.9553,0.9753,0.9652,78.37
NSL-KDD,RandomForest,0.7707,0.9662,0.6188,0.7544,1.02
NSL-KDD,XGBoost,0.8009,0.9678,0.6726,0.7936,0.38
NSL-KDD,DecisionTree,0.7936,0.967,0.6599,0.7844,0.67
NSL-KDD,GradientBoosting,0.7825,0.9663,0.6403,0.7702,29.48
